Number,Layer,Ml_Average_Probability,Motif_ID,Another_Number,Ratio,Match_Count,Rank,Frequent_score,Total,Accession
1,motif_2,0.2865183531746031,1_motif_2,1,0.5,10,5,0.036303630363036306,0.8228219835376395,NC_001895
2,motif_2,0.2693031994047619,2_motif_2,2,0.5,17,4,0.1848184818481848,0.9541216812529467,NC_001895
3,motif_1,0.3057232142857143,3_motif_1,3,0.3333333333333333,10,4,0.1848184818481848,0.8238750294672325,NC_001895
4,motif_1,0.3045449735449736,4_motif_1,4,0.23333333333333334,10,4,0.1848184818481848,0.7226967887264918,NC_001895
5,motif_1,0.2949297123015874,5_motif_1,5,0.225,15,4,0.1848184818481848,0.7047481941497722,NC_001895
6,motif_1,0.3030226821789321,6_motif_1,6,0.1590909090909091,10,4,0.1848184818481848,0.646932073118026,NC_001895
7,motif_1,0.2959187216553288,7_motif_1,7,0.21428571428571427,13,4,0.1848184818481848,0.6950229177892279,NC_001895
8,motif_1,0.2947848772321428,8_motif_1,8,0.203125,13,4,0.1848184818481848,0.6827283590803276,NC_001895
9,motif_1,0.301714451058201,9_motif_1,9,0.125,22,4,0.1848184818481848,0.6115329329063858,NC_001895
10,motif_1,0.3034378472222222,10_motif_1,10,0.1125,21,4,0.1848184818481848,0.600756329070407,NC_001895
11,motif_1,0.3039229347041847,11_motif_1,11,0.10227272727272728,21,4,0.1848184818481848,0.5910141438250968,NC_001895
12,motif_1,0.2957881944444445,12_motif_1,12,0.13541666666666666,16,4,0.1848184818481848,0.616023342959296,NC_001895
13,motif_1,0.294198985042735,13_motif_1,13,0.125,15,4,0.1848184818481848,0.6040174668909198,NC_001895
14,motif_1,0.2950886479591837,14_motif_1,14,0.11607142857142858,15,4,0.1848184818481848,0.5959785583787971,NC_001895
15,motif_1,0.2943796296296296,15_motif_1,15,0.11666666666666667,16,4,0.1848184818481848,0.5958647781444811,NC_001895
16,motif_1,0.2939520709325397,16_motif_1,16,0.1171875,15,4,0.1848184818481848,0.5959580527807246,NC_001895
17,motif_1,0.2954512492651382,17_motif_1,17,0.11851851851851852,15,4,0.1848184818481848,0.5987882496318415,NC_001895
18,motif_1,0.2975274681976809,18_motif_1,18,0.10638297872340426,15,4,0.1848184818481848,0.58872892876927,NC_001895
19,motif_1,0.2984377380952381,19_motif_1,19,0.1,15,4,0.1848184818481848,0.5832562199434229,NC_001895
20,motif_1,0.2967595114087302,20_motif_1,20,0.1,15,4,0.1848184818481848,0.5815779932569151,NC_001895
21,motif_1,0.2976707563977973,21_motif_1,21,0.11564625850340136,17,4,0.1848184818481848,0.5981354967493835,NC_001895
22,motif_1,0.275984900210084,22_motif_1,22,0.09558823529411764,6,4,0.1848184818481848,0.5563916173523864,NC_001895
23,motif_1,0.2999406487232574,23_motif_1,23,0.08152173913043478,15,4,0.1848184818481848,0.566280869701877,NC_001895
24,motif_1,0.2981651281724811,24_motif_1,24,0.08021390374331551,15,4,0.1848184818481848,0.5631975137639814,NC_001895
25,motif_1,0.3014520020738614,25_motif_1,25,0.07035175879396985,14,4,0.1848184818481848,0.5566222427160161,NC_001895
26,motif_1,0.3005182291666667,26_motif_1,26,0.07211538461538461,11,4,0.1848184818481848,0.5574520956302361,NC_001895
