Number_x,Layer,Ml_Average_Probability,Motif_ID,Ratio,Match_Count,Rank,Frequent_score,Total,Accession
1,motif_1,0.2522242063492063,1_motif_1,0.75,2,14,0.0231023102310231,1.0253265165802292,NC_004913
2,motif_3,0.5730753968253965,2_motif_3,0.8,7,11,0.033003300330033,1.4060786971554295,NC_004913
3,motif_3,0.5739449735449733,3_motif_3,0.5333333333333333,8,11,0.033003300330033,1.1402816072083397,NC_004913
4,motif_2,0.5727126984126982,4_motif_2,0.4,8,11,0.033003300330033,1.0057159987427313,NC_004913
5,motif_2,0.5719733333333331,5_motif_2,0.32,8,11,0.033003300330033,0.924976633663366,NC_004913
6,motif_2,0.6212633928571427,6_motif_2,0.3,7,11,0.033003300330033,0.9542666931871757,NC_004913
7,motif_2,0.5879451058201057,7_motif_2,0.25925925925925924,3,11,0.033003300330033,0.880207665409398,NC_004913
8,motif_1,0.3642156498015873,8_motif_1,0.03125,56,1,0.3234323432343234,0.7188979930359107,NC_004913
9,motif_2,0.5758104056437389,9_motif_2,0.25925925925925924,8,6,0.056105610561056105,0.8911752754640542,NC_004913
10,motif_2,0.5707432539682539,10_motif_2,0.3,7,11,0.033003300330033,0.9037465542982868,NC_004913
11,motif_2,0.571340909090909,11_motif_2,0.2727272727272727,7,11,0.033003300330033,0.8770714821482146,NC_004913
12,motif_2,0.5744819775132273,12_motif_2,0.25,7,11,0.033003300330033,0.8574852778432602,NC_004913
13,motif_3,0.5637580240429505,13_motif_3,0.10294117647058823,10,8,0.0429042904290429,0.7096034909425816,NC_004913
14,motif_1,0.34223716807595306,14_motif_1,0.056074766355140186,85,1,0.3234323432343234,0.7217442776654166,NC_004913
15,motif_1,0.36887664682539684,15_motif_1,0.06,97,1,0.3234323432343234,0.7523089900597202,NC_004913
16,motif_1,0.3625588066551922,16_motif_1,0.04819277108433735,97,1,0.3234323432343234,0.734183920973853,NC_004913
17,motif_1,0.3625588066551922,17_motif_1,0.04819277108433735,97,1,0.3234323432343234,0.734183920973853,NC_004913
18,motif_3,0.5814485504850088,18_motif_3,0.125,10,8,0.0429042904290429,0.7493528409140516,NC_004913
19,motif_1,0.3474793002136752,19_motif_1,0.07692307692307693,96,1,0.3234323432343234,0.7478347203710756,NC_004913
20,motif_1,0.3432799007936508,20_motif_1,0.08,97,1,0.3234323432343234,0.7467122440279742,NC_004913
21,motif_1,0.3450697782228156,21_motif_1,0.07476635514018691,97,1,0.3234323432343234,0.7432684765973259,NC_004913
22,motif_2,0.597063492063492,22_motif_2,0.1111111111111111,10,8,0.0429042904290429,0.7510788936036459,NC_004913
23,motif_1,0.38325341195668294,23_motif_1,0.07476635514018691,97,1,0.3234323432343234,0.7814521103311933,NC_004913
24,motif_1,0.379798564753004,24_motif_1,0.07476635514018691,97,1,0.3234323432343234,0.7779972631275143,NC_004913
25,motif_1,0.34088373386737875,25_motif_1,0.07476635514018691,97,1,0.3234323432343234,0.7390824322418891,NC_004913
26,motif_1,0.34101312861593236,26_motif_1,0.07476635514018691,97,1,0.3234323432343234,0.7392118269904426,NC_004913
27,motif_1,0.341269109535067,27_motif_1,0.0851063829787234,97,1,0.3234323432343234,0.7498078357481138,NC_004913
28,motif_1,0.3672958296246848,28_motif_1,0.056074766355140186,97,1,0.3234323432343234,0.7468029392141484,NC_004913
29,motif_1,0.3349725723622783,29_motif_1,0.03619909502262444,97,1,0.3234323432343234,0.6946040106192262,NC_004913
30,motif_1,0.3326428244374673,30_motif_1,0.02197802197802198,97,1,0.3234323432343234,0.6780531896498126,NC_004913
31,motif_1,0.3361046987734488,31_motif_1,0.05454545454545454,97,1,0.3234323432343234,0.7140824965532268,NC_004913
32,motif_3,0.6713515314980159,32_motif_3,0.078125,4,6,0.056105610561056105,0.805582142059072,NC_004913
33,motif_3,0.6721615312791782,33_motif_3,0.07352941176470588,5,6,0.056105610561056105,0.8017965536049402,NC_004913
34,motif_2,0.6493638246965453,34_motif_2,0.07352941176470588,7,6,0.056105610561056105,0.7789988470223073,NC_004913
35,motif_1,0.37399705924036275,35_motif_1,0.05714285714285714,97,1,0.3234323432343234,0.7545722596175433,NC_004913
36,motif_2,0.616461708629812,36_motif_2,0.08045977011494253,8,6,0.056105610561056105,0.7530270893058106,NC_004913
37,motif_2,0.618554643313264,37_motif_2,0.10344827586206896,8,6,0.056105610561056105,0.7781085297363891,NC_004913
38,motif_2,0.6257960784313725,38_motif_2,0.10588235294117647,8,6,0.056105610561056105,0.7877840419336051,NC_004913
39,motif_2,0.6257960784313725,39_motif_2,0.10588235294117647,8,6,0.056105610561056105,0.7877840419336051,NC_004913
