Number,Layer,Ml_Average_Probability,Motif_ID,Another_Number,Ratio,Match_Count,Rank,Frequent_score,Total,Accession
1,motif_3,0.512107142857143,1_motif_3,1,0.75,0,12,0.009900990099009901,1.2720081329561528,NC_005857
2,motif_3,0.3167217643467643,2_motif_3,2,0.7692307692307693,0,18,0.0033003300330033004,1.0892528636105367,NC_005857
3,motif_2,0.4627592592592593,3_motif_2,3,0.3333333333333333,1,12,0.009900990099009901,0.8059935826916025,NC_005857
4,motif_3,0.4598788314176245,4_motif_3,4,0.4482758620689655,2,12,0.009900990099009901,0.9180556835856,NC_005857
5,motif_3,0.3421967757936507,5_motif_3,5,0.125,13,3,0.0858085808580858,0.5530053566517366,NC_005857
6,motif_2,0.3473668101992569,6_motif_2,6,0.14893617021276595,23,3,0.0858085808580858,0.5821115612701087,NC_005857
7,motif_2,0.316687216553288,7_motif_2,7,0.16071428571428573,22,3,0.0858085808580858,0.5632100831256596,NC_005857
8,motif_2,0.3699194878472222,8_motif_2,8,0.140625,23,3,0.0858085808580858,0.596353068705308,NC_005857
9,motif_2,0.3743218694885362,9_motif_2,9,0.125,22,3,0.0858085808580858,0.585130450346622,NC_005857
10,motif_3,0.3726692460317461,10_motif_3,10,0.15,12,8,0.0429042904290429,0.565573536460789,NC_005857
11,motif_2,0.3692962887806638,11_motif_2,11,0.125,22,3,0.0858085808580858,0.5801048696387496,NC_005857
12,motif_2,0.3663997189153439,12_motif_2,12,0.15625,23,3,0.0858085808580858,0.6084582997734297,NC_005857
13,motif_2,0.3556644726800976,13_motif_2,13,0.14423076923076922,23,3,0.0858085808580858,0.5857038227689526,NC_005857
14,motif_2,0.3560121031746031,14_motif_2,14,0.17272727272727273,23,3,0.0858085808580858,0.6145479567599617,NC_005857
15,motif_3,0.6302021284271287,15_motif_3,15,0.3090909090909091,5,10,0.019801980198019802,0.9590950177160577,NC_005857
16,motif_3,0.6414959077380952,16_motif_3,16,0.3671875,5,10,0.019801980198019802,1.028485387936115,NC_005857
17,motif_3,0.6370347736625513,17_motif_3,17,0.3333333333333333,5,10,0.019801980198019802,0.9901700871939045,NC_005857
18,motif_3,0.6351340465090464,18_motif_3,18,0.4125874125874126,5,10,0.019801980198019802,1.0675234392944788,NC_005857
19,motif_3,0.6377311507936507,19_motif_3,19,0.3474576271186441,5,10,0.019801980198019802,1.0049907581103146,NC_005857
20,motif_3,0.6289426432511537,20_motif_3,20,0.3829787234042553,5,10,0.019801980198019802,1.0317233468534288,NC_005857
21,motif_1,0.6527701955782312,21_motif_1,21,0.43452380952380953,0,22,0.0033003300330033004,1.090594335135044,NC_005857
22,motif_1,0.6138849431818181,22_motif_1,22,0.3125,11,1,0.2607260726072607,1.1871110157890787,NC_005857
23,motif_1,0.5890313793995859,23_motif_1,23,0.22826086956521738,75,1,0.2607260726072607,1.078018321572064,NC_005857
24,motif_1,0.5895513366750208,24_motif_1,24,0.2,61,1,0.2607260726072607,1.0502774092822815,NC_005857
25,motif_1,0.5982083035714286,25_motif_1,25,0.245,69,1,0.2607260726072607,1.1039343761786893,NC_005857
26,motif_1,0.600557867159809,26_motif_1,26,0.2669902912621359,19,1,0.2607260726072607,1.1282742310292055,NC_005857
27,motif_1,0.6053187095825984,27_motif_1,27,0.2962962962962963,17,1,0.2607260726072607,1.1623410784861554,NC_005857
28,motif_1,0.6061492632927611,28_motif_1,28,0.31390134529147984,17,1,0.2607260726072607,1.1807766811915017,NC_005857
29,motif_1,0.6781644601806238,29_motif_1,29,0.3146551724137931,0,21,0.0033003300330033004,0.9961199626274203,NC_005857
30,motif_1,0.6063661871693121,30_motif_1,30,0.2833333333333333,16,1,0.2607260726072607,1.150425593109906,NC_005857
31,motif_1,0.5889933085919927,31_motif_1,31,0.15384615384615385,75,1,0.2607260726072607,1.0035655350454074,NC_005857
32,motif_2,0.6743424992219109,32_motif_2,32,0.2196078431372549,9,6,0.07920792079207921,0.973158263151245,NC_005857
33,motif_1,0.5418191137566138,33_motif_1,33,0.13636363636363635,73,1,0.2607260726072607,0.9389088227275109,NC_005857
34,motif_1,0.538178680847339,34_motif_1,34,0.11397058823529412,72,1,0.2607260726072607,0.9128753416898938,NC_005857
35,motif_1,0.5377169784580499,35_motif_1,35,0.10357142857142858,72,1,0.2607260726072607,0.9020144796367391,NC_005857
36,motif_1,0.5381444416887126,36_motif_1,36,0.09027777777777778,72,1,0.2607260726072607,0.889148292073751,NC_005857
37,motif_1,0.537520390926641,37_motif_1,37,0.08445945945945946,68,1,0.2607260726072607,0.8827059229933611,NC_005857
38,motif_1,0.5308613982873853,38_motif_1,38,0.07236842105263158,72,1,0.2607260726072607,0.8639558919472776,NC_005857
39,motif_2,0.2802740766178266,39_motif_2,39,0.3942307692307692,18,2,0.21122112211221122,0.885725967960807,NC_005857
40,motif_1,0.5337532614087304,40_motif_1,40,0.08125,71,1,0.2607260726072607,0.8757293340159911,NC_005857
41,motif_1,0.5387780197444834,41_motif_1,41,0.07317073170731707,72,1,0.2607260726072607,0.8726748240590612,NC_005857
42,motif_1,0.538951849489796,42_motif_1,42,0.07738095238095238,72,1,0.2607260726072607,0.877058874478009,NC_005857
43,motif_1,0.5403718705169143,43_motif_1,43,0.07580174927113703,72,1,0.2607260726072607,0.8768996923953121,NC_005857
44,motif_1,0.5408241567460318,44_motif_1,44,0.08522727272727272,72,1,0.2607260726072607,0.8867775020805653,NC_005857
45,motif_1,0.537500821208113,45_motif_1,45,0.08055555555555556,72,1,0.2607260726072607,0.8787824493709293,NC_005857
46,motif_1,0.5383727732487923,46_motif_1,46,0.08152173913043478,72,1,0.2607260726072607,0.8806205849864879,NC_005857
47,motif_2,0.7179205082742316,47_motif_2,47,0.08244680851063829,10,6,0.07920792079207921,0.8795752375769491,NC_005857
48,motif_1,0.5381924914003896,48_motif_1,48,0.0835509138381201,73,1,0.2607260726072607,0.8824694778457705,NC_005857
49,motif_1,0.5413634707506192,49_motif_1,49,0.08695652173913043,72,1,0.2607260726072607,0.8890460650970102,NC_005857
50,motif_1,0.5409306051587301,50_motif_1,50,0.095,72,1,0.2607260726072607,0.8966566777659908,NC_005857
51,motif_1,0.552234156162465,51_motif_1,51,0.09313725490196079,74,1,0.2607260726072607,0.9060974836716864,NC_005857
52,motif_1,0.5418824141170157,52_motif_1,52,0.0966183574879227,72,1,0.2607260726072607,0.8992268442121991,NC_005857
53,motif_1,0.5591773500673854,53_motif_1,53,0.10613207547169812,77,1,0.2607260726072607,0.9260354981463443,NC_005857
54,motif_1,0.5596548491696061,54_motif_1,54,0.10416666666666667,76,1,0.2607260726072607,0.9245475884435335,NC_005857
55,motif_1,0.5601097328597329,55_motif_1,55,0.1048951048951049,77,1,0.2607260726072607,0.9257309103620985,NC_005857
56,motif_1,0.5629857346584467,56_motif_1,56,0.10267857142857142,77,1,0.2607260726072607,0.9263903786942789,NC_005857
57,motif_1,0.5653574604915067,57_motif_1,57,0.10526315789473684,77,1,0.2607260726072607,0.9313466909935042,NC_005857
58,motif_1,0.5355014355994379,58_motif_1,58,0.1101511879049676,71,1,0.2607260726072607,0.9063786961116662,NC_005857
59,motif_2,0.6853274566182405,59_motif_2,59,0.1504237288135593,23,4,0.07920792079207921,0.914959106223879,NC_005857
60,motif_1,0.5927219328703702,60_motif_1,60,0.10208333333333333,66,1,0.2607260726072607,0.9555313388109643,NC_005857
61,motif_1,0.5929544506372022,61_motif_1,61,0.10061601642710473,66,1,0.2607260726072607,0.9542965396715677,NC_005857
