Number,Layer,Ml_Average_Probability,Motif_ID,Another_Number,Ratio,Match_Count,Rank,Frequent_score,Total,Accession
1,motif_1,0.289921875,1_motif_1,1,0.625,2,2,0.23432343234323433,1.1492453073432343,NC_001416
2,motif_1,0.3163680555555555,2_motif_1,2,0.5833333333333334,69,2,0.23432343234323433,1.1340248212321233,NC_001416
3,motif_1,0.3535276915113872,3_motif_1,3,0.34782608695652173,70,2,0.23432343234323433,0.9356772108111433,NC_001416
4,motif_1,0.3534012896825397,4_motif_1,4,0.25,70,2,0.23432343234323433,0.837724722025774,NC_001416
5,motif_1,0.3454118551587302,5_motif_1,5,0.2,70,2,0.23432343234323433,0.7797352875019645,NC_001416
6,motif_1,0.3472808172914556,6_motif_1,6,0.19148936170212766,70,2,0.23432343234323433,0.7730936113368176,NC_001416
7,motif_1,0.347794227994228,7_motif_1,7,0.16363636363636364,70,2,0.23432343234323433,0.7457540239738261,NC_001416
8,motif_3,0.5869574348607367,8_motif_3,8,0.1509433962264151,1,13,0.006600660066006601,0.7445014911531583,NC_001416
9,motif_1,0.3447441873462999,9_motif_1,9,0.1267605633802817,70,2,0.23432343234323433,0.7058281830698159,NC_001416
10,motif_1,0.3461127602556174,10_motif_1,10,0.11688311688311688,70,2,0.23432343234323433,0.6973193094819685,NC_001416
11,motif_3,0.53688747848537,11_motif_3,11,0.13253012048192772,1,6,0.0429042904290429,0.7123218893963406,NC_001416
12,motif_1,0.341185066833751,12_motif_1,12,0.11578947368421053,70,2,0.23432343234323433,0.6912979728611959,NC_001416
13,motif_1,0.3365662081984896,13_motif_1,13,0.0970873786407767,70,2,0.23432343234323433,0.6679770191825006,NC_001416
14,motif_2,0.3482700715702947,14_motif_2,14,0.07142857142857142,54,1,0.3201320132013201,0.7398306562001863,NC_001416
15,motif_2,0.2992337301587302,15_motif_2,15,0.075,54,1,0.3201320132013201,0.6943657433600503,NC_001416
16,motif_1,0.3004880642361112,16_motif_1,16,0.0703125,54,1,0.3201320132013201,0.6909325774374313,NC_001416
